accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,activity
-0.25708008,-0.94610596,0.22406006,-0.484375,-0.3125,-0.015625,Sitting Normal
-0.26367188,-0.9468384,0.2333374,-0.15625,-1.078125,0.296875,Sitting Normal
-0.2626953,-0.95269775,0.23553467,-0.90625,-0.75,0.046875,Sitting Normal
-0.26123047,-0.9414673,0.2218628,-0.90625,-0.453125,-0.109375,Sitting Normal
-0.27172852,-0.9417114,0.2321167,0.09375,0.03125,0.578125,Sitting Normal
-0.2685547,-0.9417114,0.23504639,0.5,-0.46875,0.03125,Sitting Normal
-0.26708984,-0.942688,0.2243042,0.21875,-0.609375,0.34375,Sitting Normal
-0.26293945,-0.94122314,0.23284912,-0.21875,-0.703125,-0.078125,Sitting Normal
-0.26245117,-0.9463501,0.23040771,-0.28125,-0.1875,-0.03125,Sitting Normal
-0.27270508,-0.9507446,0.23284912,0.15625,-0.59375,0.203125,Sitting Normal
-0.26293945,-0.93829346,0.22747803,-0.21875,-1.03125,-0.09375,Sitting Normal
-0.2631836,-0.940979,0.23016357,0.046875,-0.515625,0.015625,Sitting Normal
-0.26245117,-0.9487915,0.22576904,-0.453125,-0.5,0.203125,Sitting Normal
-0.26342773,-0.944397,0.22918701,0.078125,-0.546875,0.25,Sitting Normal
-0.2607422,-0.93634033,0.22723389,0.078125,-0.71875,0.0,Sitting Normal
-0.2626953,-0.94366455,0.2255249,0.15625,-0.421875,0.09375,Sitting Normal
-0.2644043,-0.94317627,0.22918701,0.09375,-0.1875,0.25,Sitting Normal
-0.26342773,-0.9439087,0.230896,0.234375,-0.171875,0.359375,Sitting Normal
-0.26342773,-0.94781494,0.23162842,0.171875,-0.46875,0.1875,Sitting Normal
-0.2607422,-0.94366455,0.23480225,0.28125,-0.328125,0.21875,Sitting Normal
-0.2614746,-0.94659424,0.23162842,0.484375,-0.140625,0.296875,Sitting Normal
-0.26611328,-0.9470825,0.22943115,0.25,-0.5625,0.15625,Sitting Normal
-0.26757812,-0.9456177,0.22406006,0.515625,-0.078125,0.25,Sitting Normal
-0.26660156,-0.9307251,0.23406982,0.65625,0.3125,0.109375,Sitting Normal
-0.26586914,-0.9529419,0.23651123,0.734375,-0.5,0.53125,Sitting Normal
-0.26245117,-0.94610596,0.2164917,-0.515625,-0.1875,-0.015625,Sitting Normal
-0.26342773,-0.942688,0.2218628,-0.03125,-0.453125,-0.203125,Sitting Normal
-0.26611328,-0.94903564,0.23675537,0.890625,-0.71875,0.421875,Sitting Normal
-0.2590332,-0.9512329,0.2321167,-0.453125,-0.859375,0.078125,Sitting Normal
-0.26489258,-0.94073486,0.22283936,0.171875,-0.625,-0.125,Sitting Normal
-0.26513672,-0.94122314,0.22796631,-0.046875,-0.4375,0.234375,Sitting Normal
-0.26586914,-0.94317627,0.2333374,0.84375,-0.96875,-0.109375,Sitting Normal
-0.26782227,-0.9492798,0.22698975,0.359375,-0.59375,0.375,Sitting Normal
-0.26220703,-0.93536377,0.2255249,0.203125,-0.84375,-0.265625,Sitting Normal
-0.2626953,-0.9470825,0.23138428,0.78125,-0.625,0.15625,Sitting Normal
-0.26171875,-0.95098877,0.22650146,0.1875,-0.6875,0.28125,Sitting Normal
-0.265625,-0.93878174,0.22796631,0.578125,-0.765625,-0.09375,Sitting Normal
-0.27075195,-0.9439087,0.22601318,0.828125,-0.65625,0.203125,Sitting Normal
-0.26489258,-0.9483032,0.22747803,0.40625,-0.46875,0.03125,Sitting Normal
-0.26904297,-0.9446411,0.22210693,1.125,-0.15625,0.40625,Sitting Normal
-0.27441406,-0.94610596,0.21600342,0.78125,-0.0625,0.421875,Sitting Normal
-0.27124023,-0.94537354,0.21624756,0.578125,-0.421875,0.234375,Sitting Normal
-0.26782227,-0.94073486,0.21942139,0.296875,-0.390625,-0.0625,Sitting Normal
-0.2685547,-0.9439087,0.22796631,0.546875,-0.546875,0.109375,Sitting Normal
-0.26245117,-0.9522095,0.2218628,0.34375,-0.328125,0.171875,Sitting Normal
-0.26538086,-0.9456177,0.22113037,0.59375,-0.015625,0.390625,Sitting Normal
